Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",171.450000,-106.680000,0.000000,top
"C2","10uF","C_0805_2012Metric",160.020000,-105.410000,270.000000,top
"C3","10uF","C_0805_2012Metric",160.020000,-101.600000,90.000000,top
"C4","100nF","C_0402_1005Metric",165.100000,-96.520000,0.000000,top
"C5","100nF","C_0402_1005Metric",144.780000,-105.410000,180.000000,top
"C6","22pF","C_0603_1608Metric",139.065000,-92.710000,0.000000,top
"C7","100nF","C_0402_1005Metric",154.455000,-92.710000,0.000000,top
"C8","100nF","C_0402_1005Metric",154.940000,-102.870000,0.000000,top
"C9","100nF","C_0402_1005Metric",139.700000,-102.870000,270.000000,top
"C10","22pF","C_0603_1608Metric",139.065000,-99.060000,180.000000,top
"C11","100nF","C_0402_1005Metric",142.875000,-91.440000,180.000000,top
"C12","2.2uF","C_0603_1608Metric",154.305000,-104.775000,0.000000,top
"C13","2.2uF","C_0603_1608Metric",155.575000,-90.170000,90.000000,top
"D1","~","D_SOD-123",171.704000,-103.632000,0.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",165.735000,-92.075000,90.000000,top
"D3","~","D_SOD-123",171.450000,-90.805000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex-105017-0001",171.450000,-97.155000,90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",165.100000,-102.235000,270.000000,top
"U2","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",148.165000,-97.665000,270.000000,top
"Y1","16 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",139.065000,-95.885000,270.000000,top
