Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",163.830000,-96.520000,180.000000,top
"C2","100nF","C_0402_1005Metric",126.365000,-102.870000,180.000000,top
"C3","10uF","C_0805_2012Metric",163.830000,-102.870000,0.000000,top
"C4","1uF","C_0402_1005Metric",144.780000,-104.775000,270.000000,top
"C5","100nF","C_0402_1005Metric",160.020000,-97.790000,90.000000,top
"C6","100nF","C_0402_1005Metric",151.765000,-89.535000,180.000000,top
"C7","100nF","C_0402_1005Metric",143.510000,-97.790000,270.000000,top
"C8","100nF","C_0402_1005Metric",155.575000,-105.410000,0.000000,top
"C9","10nF","C_0402_1005Metric",143.510000,-104.775000,270.000000,top
"C10","20pF","C_0402_1005Metric",139.700000,-95.250000,0.000000,top
"C11","20pF","C_0402_1005Metric",139.700000,-102.870000,180.000000,top
"C12","2.2uF","C_0402_1005Metric",160.020000,-99.695000,90.000000,top
"C13","2.2uF","C_0402_1005Metric",156.845000,-90.170000,0.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",132.715000,-97.790000,0.000000,top
"D2","~","D_SOD-123",167.640000,-98.425000,270.000000,top
"D3","YEL","LED_0603_1608Metric",172.720000,-90.805000,0.000000,top
"D4","BLUE","LED_0603_1608Metric",172.720000,-92.710000,0.000000,top
"R1","NM","R_0402_1005Metric",126.365000,-104.140000,0.000000,top
"R2","22R","R_0402_1005Metric",172.085000,-97.155000,0.000000,top
"R3","22R","R_0402_1005Metric",172.085000,-98.425000,0.000000,top
"R4","1.5k","R_0402_1005Metric",172.085000,-99.695000,0.000000,top
"R5","NM","R_0402_1005Metric",126.365000,-92.075000,180.000000,top
"R6","1k","R_0402_1005Metric",170.180000,-90.805000,180.000000,top
"R7","5.1k","R_0402_1005Metric",172.085000,-100.965000,0.000000,top
"R8","5.1k","R_0402_1005Metric",172.085000,-95.885000,0.000000,top
"R9","1k","R_0402_1005Metric",170.180000,-92.710000,180.000000,top
"SW1","~","SW_SPST_TL3342",132.715000,-104.140000,180.000000,top
"SW2","~","SW_SPST_TL3342",132.715000,-91.440000,180.000000,top
"U1","XC6206P332MR","SOT-23",163.830000,-99.695000,0.000000,top
"U2","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",151.765000,-97.790000,45.000000,top
"Y1","8 MHz","Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm",139.700000,-99.060000,270.000000,top
