Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",196.850000,-105.410000,90.000000,top
"C2","10uF","C_0805_2012Metric",186.690000,-105.410000,270.000000,top
"C3","100nF","C_0402_1005Metric",184.150000,-101.750000,90.000000,top
"C4","100nF","C_0402_1005Metric",180.975000,-95.885000,0.000000,top
"C5","100nF","C_0402_1005Metric",173.355000,-106.045000,180.000000,top
"C6","100nF","C_0402_1005Metric",171.450000,-101.750000,90.000000,top
"C7","100nF","C_0402_1005Metric",164.465000,-96.520000,90.000000,top
"C8","20pF","C_0402_1005Metric",164.465000,-101.600000,270.000000,top
"C9","20pF","C_0402_1005Metric",164.465000,-104.140000,270.000000,top
"C10","20pF","C_0402_1005Metric",164.465000,-106.680000,90.000000,top
"C11","20pF","C_0402_1005Metric",170.815000,-106.045000,0.000000,top
"D1","~","D_SOD-123",200.660000,-107.315000,0.000000,top
"D2","YEL","LED_0603_1608Metric",199.390000,-96.520000,180.000000,top
"D3","BLUE","LED_0603_1608Metric",196.215000,-96.520000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex-105017-0001",201.295000,-101.600000,90.000000,top
"R1","22R","R_0402_1005Metric",196.850000,-100.965000,180.000000,top
"R2","22R","R_0402_1005Metric",196.850000,-102.235000,180.000000,top
"R3","10k","R_0402_1005Metric",164.465000,-99.060000,90.000000,top
"R4","1k","R_0402_1005Metric",201.930000,-96.520000,0.000000,top
"R5","1k","R_0402_1005Metric",196.850000,-98.425000,180.000000,top
"R6","10k","R_0402_1005Metric",196.850000,-99.695000,180.000000,top
"SW1","SW_Push","SW_SPST_TL3342",159.385000,-98.425000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",191.770000,-102.870000,90.000000,top
"U2","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",177.800000,-101.600000,45.000000,top
"Y1","8M","Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm",167.640000,-100.965000,270.000000,top
"Y2","32.768k","Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm",167.640000,-106.045000,0.000000,top
